DATE,PROJECT,FIELD_ OF_WORK,SECTION,DAILY_ACTIVITY,MAN_HOURS,PROGRESS,COMMENTS
12/14/2022,9020 (01) ,"NEW PROJECT (VARIANT, OPTIONAL, SPECIAL) (01)",FULL PRODUCT (01),BENCHMARK STUDY (01),1.5,0% - 25%,asdfghj
12/14/2022,1190 (03),COST REDUCTION (03),STRUCTURE (02),CONCEPT DESIGN (04),2,25% - 50%,GOOD....
12/14/2022,2490HD (06) ,HR L&D (11),PNEUMATICS / STEAM (10),SUPPLIER ENQUIRY (07),2,0% - 25%,qwert
12/14/2022,2490HD (06) ,HR L&D (11),TESTING / VALIDATION (15),PROBLEM STUDY/TROUBLE SHOOTING/ANALYSIS (10),3,25% - 50%,asdfgh
12/15/2022,ROCK SPLITTER (11) ,PROCUREMENT ISSUES (06),GENERAL/COMMON/MISCELLANEOUS (09),AGGREGATE/COMPONENT SELECTION (08),2,0% - 25%,"good

"
12/15/2022,ELEVATED CABIN (12),ASSEMBLY ISSUES (05) ,FASTENERS (12),PLM CHECK IN/OUT (13),2,25% - 50%,"good

"
12/15/2022,ATTACHMENTS - OTHER M/C (10) ,QC ISSUES (07),HOMOLOGATION (16),AGGREGATE/COMPONENT SELECTION (08),2,25% - 50%,excellent!!
12/21/2022,315R (05),REPEAT ORDER MODIFICATIONS (08),SHEET METAL (07),PROBLEM STUDY/TROUBLE SHOOTING/ANALYSIS (10),3,25% - 50%,yyyy
12/21/2022,1190 (03),PROCUREMENT ISSUES (06),ELECTRICALS (04),SUPPLIER ENQUIRY (07),2,0% - 25%,going on...
12/22/2022,315R (05),IT-PLM (15),PNEUMATICS / STEAM (10),PRO-E 2D DRAFTING (12),3,0% - 25%,qwertyui
12/22/2022,ELEVATED CABIN (12),HR L&D (11),HYDRAULICS (03),COMPARATIVE STUDY (02),4.5,0% - 25%,qweertyu
12/22/2022,315R (05),HR IC LEVEL INITIATIVES (14),OTHER OE ITEMS (13),WRENCH CUSTOMIZATION (14),0.5,0% - 25%,qwerty
12/22/2022, HTCP (14),"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",FASTENERS (12),FINITE ELEMENT ANALYSIS (15),1,0% - 25%,asdghj
12/21/2022,990HFi (02),HR TALENT ACQUISITION & RETENTION (10),CONSUMBALES (11),PRO-E 2D DRAFTING (12),2,Yet to Start,asdfghj
12/23/2022,2490HD (06) ,"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",STRUCTURE (02),CONCEPT DESIGN (04),1.25,Yet to Start,asdfghjk
12/27/2022,2490HD (06) ,"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",HYDRAULICS (03),COMPARATIVE STUDY (02),2,0% - 25%,sdfghjkl
12/27/2022,2490HD (06) ,"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",HYDRAULICS (03),COMPARATIVE STUDY (02),2,0% - 25%,sdfghjkl
12/28/2022,491 (04),"HR ANALYSIS , REVIEW & REPORTING (13) ",STRUCTURE (02),PROBLEM STUDY/TROUBLE SHOOTING/ANALYSIS (10),3.5,50% - 75%,asdfghjklzxcvbnm
12/29/2022,300i (07) ,IT-MAINTENANCE (16),OTHER OE ITEMS (13),FINITE ELEMENT ANALYSIS (15),1.5,25% - 50%,sdfghj
12/29/2022,300i (07) ,IT-MAINTENANCE (16),OTHER OE ITEMS (13),FINITE ELEMENT ANALYSIS (15),1.5,25% - 50%,sdfghj
12/29/2022,300i (07) ,IT-MAINTENANCE (16),OTHER OE ITEMS (13),FINITE ELEMENT ANALYSIS (15),1.5,25% - 50%,sdfghj
12/24/2022,LEAVE,LEAVE,LEAVE,LEAVE,3.5,,
12/26/2022,PERMISSION,PERMISSION,PERMISSION,PERMISSION,1.5,,
12/26/2022,PERMISSION,PERMISSION,PERMISSION,PERMISSION,1,,
12/29/2022,300i (07) ,IT-MAINTENANCE (16),CONSUMBALES (11),WRENCH CUSTOMIZATION (14),2,0% - 25%,asdfghjk
12/29/2022,315R (05),REPEAT ORDER MODIFICATIONS (08),TESTING / VALIDATION (15),PROCUREMENT - NEW PRODUCT / PROJECT (44),1.75,25% - 50%,wzexsrdcftvgb
12/30/2022,PDC DEPT LEVEL (30),IT-PLM (15),GENERAL/COMMON/MISCELLANEOUS (09),PRO-E 3D MODELLING (11),2.5,0% - 25%,wertyuioasdf
12/30/2022,PERMISSION,PERMISSION,PERMISSION,PERMISSION,1,,
12/30/2022,491 (04),PROCUREMENT ISSUES (06),FASTENERS (12),PROBLEM STUDY/TROUBLE SHOOTING/ANALYSIS (10),1.25,50% - 75%,ijuhygfd
12/25/2022,HOLIDAY (34),HOLIDAY (34),HOLIDAY (34),HOLIDAY (34),0,,
12/31/2022, HTCP (14),IT-PLM (15),OTHER OE ITEMS (13),PLM CHECK IN/OUT (13),0.5,0% - 25%,Come
1/10/2023,ATTACHMENTS - L&T M/C (09) ,ASSEMBLY ISSUES (05) ,ANALYSIS DEPT (14),ADMIN & ACCOUNTS  (47),2,25% - 50%,ASDFGHJKRFGTHYJK
1/19/2023,315R (05),HR EMPLOYEE ENGAGEMENT (12),POWER TRAIN (05),FEASIBILITY / EVALUATION STUDY (03),2,25% - 50%,qawsedrfgtyhuj
1/19/2023,HMTCP (15),HR IC LEVEL INITIATIVES (14),GENERAL/COMMON/MISCELLANEOUS (09),PRO-E 3D MODELLING (11),6.5,0% - 25%,eretygubhnij
5/13/2023,1190 (03),"NEW PROJECT (VARIANT, OPTIONAL, SPECIAL) (01)",ANALYSIS DEPT (14),REVIEW / CHECKING (17),4,25% - 50%,-
2023-05-13,1190 (03),HR EMPLOYEE ENGAGEMENT (12),FASTENERS (12),WRENCH CUSTOMIZATION (14),2,25% - 50%,-
2024-12-03,2490HD (06) ,REPEAT ORDER MODIFICATIONS (08),OPERATOR INTERFACE (08),PRO-E 2D DRAFTING (12),8,Yet to Start,qwertyuio
